X	Y	Z
3	0	0
4.4657	6.6589	0.54443
11.357	21.432	10.112
18.632	16.207	43.783
7.6282	-8.0053	38.338
-3.0406	-8.8099	30.438
-6.0728	-7.4968	28.585
-6.6332	-6.778	27.561
-6.6631	-6.733	26.616
-6.8567	-7.2012	26.039
-7.3102	-7.8368	26.156
-7.7871	-8.1546	26.937
-7.9285	-7.823	27.804
-7.5968	-7.0906	28.023
-7.062	-6.5699	27.444
-6.7357	-6.608	26.54
-6.8349	-7.1475	25.926
-7.2992	-7.8634	26.041
-7.8245	-8.2402	26.895
-7.9948	-7.8924	27.87
-7.637	-7.08	28.137
-7.0434	-6.4928	27.511
-6.673	-6.5194	26.515
-6.7685	-7.0995	25.82
-7.2716	-7.892	25.915
-7.8593	-8.3353	26.841
-8.0674	-7.9738	27.939
-7.6841	-7.0725	28.264
-7.0255	-6.409	27.591
-6.6045	-6.4198	26.493
-6.6929	-7.0408	25.706
-7.236	-7.9167	25.771
-7.8933	-8.4391	26.772
-8.148	-8.0694	28.008
-7.7402	-7.0699	28.405
-7.0095	-6.3186	27.684
-6.53	-6.3077	26.476
-6.6067	-6.9691	25.584
-7.1903	-7.9351	25.607
-7.9248	-8.5515	26.682
-8.2371	-8.1822	28.074
-7.8074	-7.0747	28.563
-6.9969	-6.2215	27.795
-6.4495	-6.1815	26.466
-6.5083	-6.8811	25.455
-7.1316	-7.9436	25.42
-7.9515	-8.6719	26.565
-8.3352	-8.316	28.134
-7.8884	-7.0906	28.737
-6.9899	-6.1184	27.927
-6.3631	-6.0392	26.468
-6.3959	-6.7731	25.32
-7.0563	-7.9373	25.208
-7.9697	-8.7984	26.414
-8.4422	-8.4756	28.182
-7.9868	-7.1229	28.93
-6.9918	-6.0105	28.086
-6.2717	-5.8789	26.487
-6.2675	-6.6404	25.183
-6.9598	-7.9093	24.967
-7.9744	-8.9274	26.218
-8.5573	-8.6664	28.207
-8.1072	-7.1795	29.142
-7.0074	-5.9004	28.279
-6.1768	-5.6986	26.53
-6.121	-6.4773	25.048
-6.8366	-7.8508	24.696
-7.9581	-9.0525	25.964
-8.6782	-8.8945	28.195
-8.2551	-7.2717	29.372
-7.0436	-5.7923	28.514
-6.0812	-5.4963	26.607
-5.9547	-6.2773	24.923
-6.6798	-7.7497	24.395
-7.9102	-9.1624	25.638
-8.7996	-9.1657	28.124
