X	Y	Z
3	0	0
2.984	0.30248	0.01752
2.936	0.60785	0.030813
2.8564	0.91295	0.040716
2.7455	1.2146	0.047825
2.6042	1.5096	0.052589
2.4335	1.7948	0.055377
2.2347	2.067	0.056514
2.0093	2.3234	0.056307
1.7594	2.5609	0.055047
1.4869	2.7768	0.053012
1.1942	2.9685	0.050458
0.884	3.1336	0.047611
0.55896	3.27	0.044655
0.2221	3.3756	0.041737
-0.12343	3.4489	0.038958
-0.47435	3.4885	0.036381
-0.82725	3.4933	0.03404
-1.1786	3.4626	0.031945
-1.525	3.396	0.030091
-1.8627	3.2935	0.028461
-2.1882	3.1554	0.027038
-2.498	2.9823	0.025801
-2.7887	2.7755	0.024731
-3.0569	2.5362	0.023811
-3.2997	2.2662	0.023026
-3.5138	1.9676	0.022363
-3.6968	1.643	0.021813
-3.846	1.295	0.021367
-3.9594	0.92663	0.021018
-4.035	0.5413	0.020762
-4.0713	0.14251	0.020594
-4.0673	-0.26599	0.020514
-4.0221	-0.68025	0.020521
-3.9353	-1.0962	0.020614
-3.807	-1.5098	0.020797
-3.6377	-1.9166	0.021072
-3.4283	-2.3126	0.021445
-3.18	-2.6934	0.021923
-2.8946	-3.0549	0.022514
-2.5743	-3.3932	0.023228
-2.2216	-3.7042	0.02408
-1.8393	-3.9845	0.025085
-1.4308	-4.2304	0.026263
-0.99973	-4.4388	0.027639
-0.54994	-4.607	0.02924
-0.08562	-4.7323	0.031102
0.3888	-4.8128	0.033267
0.86871	-4.8466	0.035784
1.3494	-4.8326	0.038713
1.8258	-4.7698	0.042125
2.2932	-4.6582	0.046104
2.7466	-4.4977	0.050747
3.181	-4.289	0.056169
3.5916	-4.0335	0.062494
3.9737	-3.7327	0.069863
4.3227	-3.3889	0.07842
4.6344	-3.0047	0.088305
4.9047	-2.5833	0.099632
5.1299	-2.1284	0.11247
5.3068	-1.6439	0.12678
5.4325	-1.1343	0.14241
5.5045	-0.60444	0.159
5.521	-0.059358	0.17595
5.4809	0.49556	0.19236
5.3834	1.0548	0.20709
5.2286	1.6125	0.21878
5.0175	2.1631	0.22601
4.7515	2.7006	0.22757
4.4327	3.2195	0.22268
4.0641	3.7141	0.21123
3.6488	4.1791	0.19394
3.1907	4.6094	0.17227
2.6939	5.0001	0.1482
2.1626	5.3467	0.12386
1.6013	5.6451	0.10112
